"Country","Year","All","Communicable","Noncommunicable","Injuries"
"Senegal"," 2000","1521.5","848.9","574.7","97.9"
"Serbia"," 2012","709.0","19.4","657.7","32.0"
"Serbia"," 2000","855.2","30.2","782.1","42.9"
"Sierra Leone"," 2012","2440.4","1327.4","963.5","149.5"
"Sierra Leone"," 2000","3261.6","1832.7","1230.9","198.0"
"Singapore"," 2012","348.5","66.2","264.8","17.5"
"Singapore"," 2000","496.5","72.2","398.8","25.4"
"Slovakia"," 2012","607.0","35.3","532.5","39.1"
"Slovakia"," 2000","762.4","37.7","675.2","49.5"
"Slovenia"," 2012","428.8","15.4","369.2","44.2"
"Slovenia"," 2000","610.4","33.4","515.6","61.4"
"Solomon Islands"," 2012","1015.4","230.6","709.7","75.1"
"Solomon Islands"," 2000","1184.6","351.8","747.9","85.0"
"Somalia"," 2012","1666.3","927.2","550.7","188.5"
"Somalia"," 2000","1857.5","1108.9","615.2","133.5"
"South Africa"," 2012","1426.0","611.6","710.9","103.5"
"South Africa"," 2000","1474.5","577.5","785.8","111.3"
"South Sudan"," 2012","1598.0","831.3","623.4","143.4"
"South Sudan"," 2000","1949.4","1101.3","691.7","156.4"
"Spain"," 2012","360.0","19.1","323.1","17.8"
"Spain"," 2000","461.1","26.7","402.0","32.3"
"Sri Lanka"," 2012","665.7","75.5","501.2","89.0"
"Sri Lanka"," 2000","902.0","120.7","614.0","167.3"
"Sudan"," 2012","1179.6","495.0","551.0","133.6"
"Sudan"," 2000","1379.6","661.6","564.8","153.2"
"Suriname"," 2012","529.0","83.7","374.8","70.5"
"Suriname"," 2000","673.4","134.3","471.9","67.1"
"Swaziland"," 2012","1706.2","884.3","702.4","119.5"
"Swaziland"," 2000","2053.6","1097.6","831.0","125.0"
"Sweden"," 2012","378.8","19.3","333.5","26.1"
"Sweden"," 2000","450.6","22.2","397.7","30.7"
"Switzerland"," 2012","331.4","14.5","291.6","25.4"
"Switzerland"," 2000","435.0","23.7","373.4","38.0"
"Syrian Arab Republic"," 2012","921.7","41.0","572.7","308.0"
"Syrian Arab Republic"," 2000","765.6","64.5","663.1","38.0"
"Tajikistan"," 2012","951.9","147.7","752.6","51.6"
"Tajikistan"," 2000","1138.4","235.3","839.9","63.2"
"Thailand"," 2012","645.3","123.3","449.1","72.8"
"Thailand"," 2000","822.9","215.3","526.1","81.5"
"The former Yugoslav republic of Macedonia"," 2012","677.4","16.9","636.5","24.0"
"The former Yugoslav republic of Macedonia"," 2000","773.9","29.7","708.4","35.8"
"Timor-Leste"," 2012","1083.3","343.5","670.5","69.2"
"Timor-Leste"," 2000","1437.4","536.5","805.6","95.3"
"Togo"," 2012","1453.8","681.8","679.0","93.0"
"Togo"," 2000","1620.1","871.3","654.4","94.4"
"Trinidad and Tobago"," 2012","884.1","80.4","705.3","98.4"
"Trinidad and Tobago"," 2000","947.7","123.9","769.9","53.8"
"Tunisia"," 2012","613.4","65.0","509.3","39.1"
"Tunisia"," 2000","731.2","91.7","591.8","47.6"
"Turkey"," 2012","638.2","43.9","555.2","39.1"
"Turkey"," 2000","853.4","88.5","707.8","57.1"
"Turkmenistan"," 2012","1233.9","115.8","1025.1","93.0"
"Turkmenistan"," 2000","1295.5","192.9","1016.9","85.7"
"Uganda"," 2012","1527.9","696.7","664.4","166.8"
"Uganda"," 2000","2364.5","1473.6","708.7","182.2"
"Ukraine"," 2012","885.6","69.3","749.0","67.3"
"Ukraine"," 2000","1056.2","62.9","866.3","127.1"
"United Arab Emirates"," 2012","614.0","35.6","546.8","31.5"
"United Arab Emirates"," 2000","725.4","45.7","633.4","46.3"
"United Kingdom of Great Britain and Northern Ireland"," 2012","408.8","28.5","358.8","21.5"
"United Kingdom of Great Britain and Northern Ireland"," 2000","530.7","56.5","449.0","25.2"
"United Republic of Tanzania"," 2012","1283.1","584.2","569.8","129.2"
"United Republic of Tanzania"," 2000","1860.2","1063.5","655.0","141.8"
"United States of America"," 2012","488.4","31.3","412.8","44.2"
"United States of America"," 2000","561.1","37.3","477.4","46.3"
"Uruguay"," 2012","546.1","46.2","446.0","53.8"
"Uruguay"," 2000","631.4","50.9","518.7","61.9"
"Uzbekistan"," 2012","944.0","85.8","810.9","47.4"
"Uzbekistan"," 2000","1051.5","144.4","853.4","53.6"
"Venezuela (Bolivarian Republic of)"," 2012","572.0","58.2","410.6","103.2"
"Venezuela (Bolivarian Republic of)"," 2000","654.2","77.1","488.6","88.5"
"Viet Nam"," 2012","590.3","96.0","435.4","59.0"
"Viet Nam"," 2000","656.8","136.3","450.8","69.7"
"Yemen"," 2012","1226.2","515.0","626.9","84.3"
"Yemen"," 2000","1354.9","640.8","630.5","83.6"
"Zambia"," 2012","1508.1","764.3","587.4","156.4"
"Zambia"," 2000","2735.7","1808.4","712.0","215.3"
"Zimbabwe"," 2012","1392.7","711.3","598.9","82.5"
"Zimbabwe"," 2000","2811.6","2084.5","647.3","79.8"
